date,product_name,category,quantity,unit_price,customer_id,total_revenue
2022-04-13,Jeans Slim,Hoodie,1,710265.0,2270,710265.0
2022-12-15,Jacket Leather,T-Shirt,1,1476807.0,2511,1476807.0
2022-09-28,Hoodie Oversize,Dress,1,404211.0,2671,404211.0
2022-04-17,Dress Summer,T-Shirt,1,1525284.0,2921,1525284.0
2022-03-13,Hoodie Oversize,Jacket,3,1296956.0,1202,3890868.0
2022-07-08,Jeans Slim,Jeans,3,386193.0,2045,1158579.0
2022-01-21,Scarf Wool,Accessory,5,1308774.0,2615,6543870.0
2022-04-13,Jacket Leather,Jacket,3,1149805.0,1670,3449415.0
2022-05-02,Jeans Slim,Jeans,1,1171553.0,2118,1171553.0
2022-08-03,T-Shirt Basic,Accessory,4,700839.0,2032,2803356.0
2022-11-27,Jacket Leather,Accessory,4,663071.0,1472,2652284.0
2022-03-29,Jeans Slim,Accessory,2,1431929.0,2363,2863858.0
2022-04-10,Dress Summer,Hoodie,2,648061.0,1259,1296122.0
2022-12-26,Jacket Leather,Accessory,3,941706.0,1055,2825118.0
2022-06-01,Jacket Leather,Dress,4,1326923.0,1911,5307692.0
2022-05-11,Hoodie Oversize,T-Shirt,1,373405.0,2572,373405.0
2022-05-30,Dress Summer,Dress,1,1171550.0,2030,1171550.0
2022-11-05,T-Shirt Basic,T-Shirt,1,1163533.0,2401,1163533.0
2022-09-15,Scarf Wool,Jacket,3,1310555.0,1554,3931665.0
2022-12-10,Jeans Slim,Jacket,3,823389.0,2074,2470167.0
2022-10-21,Hoodie Oversize,T-Shirt,5,945919.0,1112,4729595.0
2022-07-11,Jeans Slim,Dress,1,761452.0,1146,761452.0
2022-10-04,T-Shirt Basic,T-Shirt,1,1502661.0,1230,1502661.0
2022-06-10,T-Shirt Basic,Accessory,3,452447.0,2747,1357341.0
2022-11-10,Jacket Leather,Hoodie,3,1742579.0,1497,5227737.0
2022-01-22,T-Shirt Basic,Jacket,5,1233996.0,2330,6169980.0
2022-09-10,Jeans Slim,Hoodie,5,1624705.0,2566,8123525.0
2022-08-24,Dress Summer,Accessory,2,910659.0,1461,1821318.0
